127.0.0.1, 2016-10-05 11:25:00, GET, /Review/default/index, HTTP/1.1, 200, 0.192000
127.0.0.1, 2016-10-05 11:25:00, GET, /Review/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:25:00, GET, /Review/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:25:00, GET, /Review/static/css/myapp.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:25:00, GET, /Review/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:25:00, GET, /Review/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-10-05 11:25:00, GET, /Review/static/js/jquery.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:25:00, GET, /Review/static/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:25:00, GET, /Review/static/js/web2py.js, HTTP/1.1, 200, 0.004000

127.0.0.1, 2016-10-05 11:25:00, GET, /Review/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-10-05 11:25:00, GET, /Review/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:25:00, GET, /Review/static/js/share.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:25:01, GET, /Review/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-10-05 11:25:28, GET, /Review/default/index, HTTP/1.1, 200, 0.068000
127.0.0.1, 2016-10-05 11:25:28, GET, /Review/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:25:28, GET, /Review/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:25:28, GET, /Review/static/css/myapp.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:25:28, GET, /Review/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.008000
127.0.0.1, 2016-10-05 11:25:28, GET, /Review/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:25:28, GET, /Review/static/js/jquery.js, HTTP/1.1, 304, 0.008000
127.0.0.1, 2016-10-05 11:25:28, GET, /Review/static/css/calendar.css, HTTP/1.1, 304, 0.008000
127.0.0.1, 2016-10-05 11:25:28, GET, /Review/static/js/calendar.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:25:28, GET, /Review/static/js/web2py.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:25:28, GET, /Review/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:25:28, GET, /Review/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:25:28, GET, /Review/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-05 11:25:29, GET, /Review/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-10-05 11:26:23, GET, /admin/default/site, HTTP/1.1, 200, 0.112000
127.0.0.1, 2016-10-05 11:26:23, GET, /admin/static/_2.14.6/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.084000
127.0.0.1, 2016-10-05 11:26:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-05 11:26:38, POST, /admin/default/site, HTTP/1.1, 303, 1.371000
127.0.0.1, 2016-10-05 11:26:38, GET, /admin/default/site, HTTP/1.1, 200, 0.168000
127.0.0.1, 2016-10-05 11:26:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-05 11:26:44, GET, /Review/default/index, HTTP/1.1, 200, 0.184000
127.0.0.1, 2016-10-05 11:26:47, GET, /Review/default/index, HTTP/1.1, 200, 0.056000
127.0.0.1, 2016-10-05 11:26:47, GET, /Review/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:26:47, GET, /Review/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:26:47, GET, /Review/static/css/myapp.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2016-10-05 11:26:47, GET, /Review/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:26:47, GET, /Review/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:26:47, GET, /Review/static/js/jquery.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:26:47, GET, /Review/static/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-10-05 11:26:47, GET, /Review/static/js/calendar.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:26:47, GET, /Review/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-10-05 11:26:47, GET, /Review/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:26:47, GET, /Review/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-10-05 11:26:47, GET, /Review/static/js/share.js, HTTP/1.1, 200, 0.000000
